1,-1,1376,485,37,28,0,11,1
1,-1,1371,518,33,95,1,1,0.67647
1,-1,1391,474,10,148,0,10,0.80537
1,-1,1477,519,38,76,1,1,1
1,-1,1521,568,52,109,1,1,1
1,-1,1609,558,57,118,1,1,1
1,-1,1445,511,33,78,1,1,0.94713
1,-1,-13,662,64,224,1,1,0.78462
1,-1,122,711,49,97,1,1,1
1,-1,195,575,46,154,1,1,1
1,-1,273,585,46,148,1,1,0.76596
1,-1,264,495,19,297,0,10,1
1,-1,504,549,34,93,1,1,1
1,-1,543,548,31,95,1,1,1
1,-1,652,528,27,70,1,1,1
1,-1,637,536,22,58,1,1,0.65217
1,-1,677,521,23,58,1,1,0.54167
1,-1,954,548,81,63,0,3,1
1,-1,1077,546,112,109,0,3,1
1,-1,1072,494,16,29,1,1,1
1,-1,624,521,16,70,1,1,0.81442
1,-1,1183,490,13,35,1,1,0.72222
1,-1,979,498,29,24,0,3,1
1,-1,792,509,16,45,1,1,0.79156
1,-1,828,513,16,42,1,1,1
1,-1,776,508,15,46,1,1,0.46809
1,-1,1455,496,15,43,1,1,0.34091
1,-1,1107,539,95,79,0,3,0.21107
1,-1,1163,516,130,57,0,3,0.81574
1,-1,1019,487,28,15,0,3,1
1,-1,909,478,41,44,0,3,1
1,-1,1860,557,41,111,0,8,1
1,-1,773,530,19,31,0,10,1
1,-1,672,510,15,87,0,10,0.60227
1,-1,806,503,9,51,0,10,0.73462
2,-1,1379,486,37,28,0,11,1
2,-1,1375,516,32,94,1,1,0.66667
2,-1,1395,471,10,150,0,10,0.80795
2,-1,1481,517,37,72,1,1,1
2,-1,1527,561,55,118,1,1,1
2,-1,1615,560,57,114,1,1,1
2,-1,1448,504,33,79,1,1,0.97537
2,-1,-21,652,64,224,1,1,0.66154
2,-1,111,698,49,97,1,1,1
2,-1,188,563,46,154,1,1,1
2,-1,266,574,46,148,1,1,0.78723
2,-1,256,485,19,297,0,10,1
2,-1,502,537,34,93,1,1,1
2,-1,543,536,31,95,1,1,1
2,-1,652,518,27,70,1,1,0.71429
2,-1,638,522,22,59,1,1,0.43478
2,-1,680,512,19,57,1,1,0.6
2,-1,955,544,82,63,0,3,1
2,-1,1079,543,113,112,0,3,1
2,-1,1072,489,15,26,1,1,1
2,-1,625,511,16,70,1,1,0.80116
2,-1,1184,482,15,35,1,1,0.86111
2,-1,981,490,29,24,0,3,1
2,-1,792,497,16,46,1,1,0.85357
2,-1,828,506,16,42,1,1,1
2,-1,776,498,14,45,1,1,0.5
2,-1,1455,491,16,41,1,1,0.30952
2,-1,1107,536,96,79,0,3,0.19098
2,-1,1145,513,133,56,0,3,0.73737
2,-1,1021,480,26,15,0,3,1
2,-1,911,472,41,42,0,3,1
2,-1,1870,559,40,115,0,8,1
2,-1,773,521,19,31,0,10,1
2,-1,672,501,15,87,0,10,0.59659
2,-1,807,492,9,57,0,10,1
3,-1,1382,487,38,29,0,11,1
3,-1,1379,514,32,93,1,1,0.64829
3,-1,1399,468,10,152,0,10,0.80392
3,-1,1485,515,37,68,1,1,1
3,-1,1538,555,55,118,1,1,1
3,-1,1626,546,58,127,1,1,1
3,-1,1451,500,34,78,1,1,0.97685
3,-1,105,726,49,97,1,1,1
3,-1,178,584,46,154,1,1,1
3,-1,258,592,46,148,1,1,0.65957
3,-1,254,501,19,297,0,10,1
3,-1,501,550,34,93,1,1,1
3,-1,543,548,31,95,1,1,1
3,-1,651,529,26,74,1,1,1
3,-1,637,534,21,64,1,1,0.63636
